Time,Volts,Measure
0.000,0.10,546
0.100,0.10,543
0.200,0.10,544
0.300,0.10,546
0.400,0.10,545
0.500,0.10,546
0.600,0.10,544
0.700,0.10,545
0.800,0.10,545
0.900,0.10,544
1.000,0.10,546
1.100,0.10,543
1.200,0.10,547
1.300,0.10,545
1.400,0.10,545
1.500,0.10,535
1.600,0.10,544
1.700,0.10,545
1.800,0.10,545
1.900,0.10,544
2.000,0.10,536
2.100,0.10,543
2.200,0.10,545
2.300,0.10,546
2.400,0.10,545
2.500,0.10,535
2.600,0.10,545
2.700,0.10,545
2.800,0.10,543
2.900,0.10,544
3.000,0.10,547
3.100,0.10,545
3.200,0.10,543
3.300,0.10,549
3.400,0.10,544
3.500,0.10,547
3.600,0.10,544
3.700,0.10,544
3.800,0.10,539
3.900,0.10,544
4.000,0.10,545
4.100,0.10,545
4.200,0.10,544
4.300,0.10,532
4.400,0.10,544
4.500,0.10,545
4.600,0.10,544
4.700,0.10,543
4.800,0.10,545
4.900,0.10,546
5.000,0.10,545
5.100,0.10,541
5.200,0.10,544
5.300,0.10,544
5.400,0.10,546
5.500,0.10,544
5.600,0.10,539
5.700,0.10,543
5.800,0.10,545
5.900,0.10,546
6.000,0.10,544
6.100,0.10,538
6.200,0.10,544
6.300,0.10,546
6.400,0.10,544
6.500,0.10,544
6.600,0.10,539
6.700,0.10,544
6.800,0.10,544
6.900,0.10,545
7.000,0.10,543
7.100,0.10,541
7.200,0.10,545
7.300,0.10,545
7.400,0.10,543
7.500,0.10,544
7.600,0.10,543
7.700,0.10,545
7.800,0.10,545
7.900,0.10,542
8.000,0.10,544
8.100,0.10,541
8.200,0.10,545
8.300,0.10,544
8.400,0.10,545
8.500,0.10,543
8.600,0.10,546
8.700,0.10,545
8.800,0.10,544
8.900,0.10,535
9.000,0.10,544
9.100,0.10,545
9.200,0.10,545
9.300,0.10,544
9.400,0.10,544
9.500,0.10,546
9.600,0.10,545
9.700,0.10,546
9.800,0.10,543
9.900,0.10,546
10.000,0.10,543
10.100,0.10,543
10.200,0.10,544
10.300,0.10,545
10.400,0.10,544
10.500,0.10,545
10.600,0.10,545
10.700,0.10,545
10.800,0.10,544
10.900,0.10,543
11.000,0.10,548
11.100,0.10,545
11.200,0.10,545
11.300,0.10,542
11.400,0.10,544
11.500,0.10,545
11.600,0.10,545
11.700,0.10,544
11.800,0.10,537
11.900,0.10,543
12.000,0.10,546
12.100,0.10,546
12.200,0.10,544
12.300,0.10,540
12.400,0.10,544
12.500,0.10,545
12.600,0.10,546
12.700,0.10,546
12.800,0.10,544
12.900,0.10,544
13.000,0.10,544
13.100,0.10,545
13.200,0.10,545
13.300,0.10,544
13.400,0.10,541
13.500,0.10,543
13.600,0.10,545
13.700,0.10,544
13.800,0.10,544
13.900,0.10,536
14.000,0.10,544
14.100,0.10,544
14.200,0.10,545
14.300,0.10,543
14.400,0.10,545
14.500,0.10,545
14.600,0.10,545
14.700,0.10,545
14.800,0.10,543
14.900,0.10,544
15.000,0.10,544
15.100,0.10,545
15.200,0.10,546
15.300,0.10,545
15.400,0.10,545
15.500,0.10,540
15.600,0.10,543
15.700,0.10,546
15.800,0.10,545
15.900,0.10,544
16.000,0.10,537
16.100,0.10,543
16.200,0.10,544
16.300,0.10,544
16.400,0.10,543
16.500,0.10,550
16.600,0.10,543
16.700,0.10,544
16.800,0.10,545
16.900,0.10,544
17.000,0.10,546
17.100,0.10,545
17.200,0.10,545
17.300,0.10,548
17.400,0.10,543
17.500,0.10,545
17.600,0.10,538
17.700,0.10,544
17.800,0.10,545
17.900,0.10,545
18.000,0.10,543
18.100,0.10,545
18.200,0.10,545
18.300,0.10,545
18.400,0.10,545
18.500,0.10,543
18.600,0.10,544
18.700,0.10,543
18.800,0.10,545
18.900,0.10,545
19.000,0.10,544
19.100,0.10,544
19.200,0.10,546
19.300,0.10,544
19.400,0.10,539
19.500,0.10,542
19.600,0.10,546
19.700,0.10,545
19.800,0.10,543
19.900,0.10,546
20.000,0.10,544
20.100,0.10,544
20.200,0.10,547
20.300,0.10,546
20.400,0.10,546
20.500,0.10,538
20.600,0.10,544
20.700,0.10,544
20.800,0.10,545
20.900,0.10,545
21.000,0.10,543
21.100,0.10,544
21.200,0.10,544
21.300,0.10,545
21.400,0.10,543
21.500,0.10,547
21.600,0.10,544
21.700,0.10,545
21.800,0.10,546
21.900,0.10,544
22.000,0.10,546
22.100,0.10,545
22.200,0.10,544
22.300,0.10,546
22.400,0.10,544
22.500,0.10,546
22.600,0.10,545
22.700,0.10,544
22.800,0.10,546
22.900,0.10,542
23.000,0.10,546
23.100,0.10,546
23.200,0.10,545
23.300,0.10,542
23.400,0.10,545
23.500,0.10,546
23.600,0.10,546
23.700,0.10,545
23.800,0.10,533
23.900,0.10,543
24.000,0.10,545
24.100,0.10,545
24.200,0.10,545
24.300,0.10,533
24.400,0.10,544
24.500,0.10,545
24.600,0.10,544
24.700,0.10,543
24.800,0.10,547
24.900,0.10,544
25.000,0.10,544
25.100,0.10,545
25.200,0.10,542
25.300,0.10,543
25.400,0.10,545
25.500,0.10,545
25.600,0.10,545
25.700,0.10,544
25.800,0.10,543
25.900,0.10,544
26.000,0.10,545
26.100,0.10,545
26.200,0.10,544
26.300,0.10,544
26.400,0.10,545
26.500,0.10,545
26.600,0.10,547
26.700,0.10,544
26.800,0.10,545
26.900,0.10,546
27.000,0.10,545
27.100,0.10,545
27.200,0.10,543
27.300,0.10,546
27.400,0.10,545
27.500,0.10,543
27.600,0.10,542
27.700,0.10,543
27.800,0.10,544
27.900,0.10,545
28.000,0.10,543
28.100,0.10,538
28.200,0.10,544
28.300,0.10,544
28.400,0.10,543
28.500,0.10,542
28.600,0.10,540
28.700,0.10,545
28.800,0.10,545
28.900,0.10,544
29.000,0.10,544
29.100,0.10,545
29.200,0.10,544
29.300,0.10,545
29.400,0.10,544
29.500,0.10,543
29.600,0.10,545
29.700,0.10,545
29.800,0.10,543
29.900,0.10,546
30.000,0.10,544
30.100,0.10,544
30.200,0.10,539
30.300,0.10,544
30.400,0.10,544
30.500,0.10,545
30.600,0.10,544
30.700,0.10,548
30.800,0.10,545
30.900,0.10,545
31.000,0.10,546
31.100,0.10,543
31.200,0.10,547
31.300,0.10,544
31.400,0.10,545
31.500,0.10,546
31.600,0.10,544
31.700,0.10,546
31.800,0.10,545
31.900,0.10,544
32.000,0.10,546
32.100,0.10,544
32.200,0.10,544
32.300,0.10,545
32.400,0.10,544
32.500,0.10,540
32.600,0.10,543
32.700,0.10,543
32.800,0.10,544
32.900,0.10,545
33.000,0.10,544
33.100,0.10,544
33.200,0.10,543
33.300,0.10,547
33.400,0.10,545
33.500,0.10,544
33.600,0.10,540
33.700,0.10,544
33.800,0.10,547
33.900,0.10,546
34.000,0.10,543
34.100,0.10,541
34.200,0.10,544
34.300,0.10,545
34.400,0.10,546
34.500,0.10,544
34.600,0.10,530
34.700,0.10,544
34.800,0.10,545
34.900,0.10,546
35.000,0.10,544
35.100,0.10,545
35.200,0.10,541
35.300,0.10,544
35.400,0.10,545
35.500,0.10,546
35.600,0.10,544
35.700,0.10,544
35.800,0.10,543
35.900,0.10,546
36.000,0.10,546
36.100,0.10,543
36.200,0.10,537
36.300,0.10,544
36.400,0.10,545
36.500,0.10,544
36.600,0.10,543
36.700,0.10,544
36.800,0.10,544
36.900,0.10,545
37.000,0.10,546
37.100,0.10,543
37.200,0.10,548
37.300,0.10,546
37.400,0.10,544
37.500,0.10,543
37.600,0.10,546
37.700,0.10,545
37.800,0.10,546
37.900,0.10,545
38.000,0.10,545
38.100,0.10,544
38.200,0.10,544
38.300,0.10,546
38.400,0.10,545
38.500,0.10,544
38.600,0.10,545
38.700,0.10,543
38.800,0.10,545
38.900,0.10,543
39.000,0.10,545
39.100,0.10,545
39.200,0.10,543
39.300,0.10,549
39.400,0.10,545
39.500,0.10,545
39.600,0.10,543
39.700,0.10,543
39.800,0.10,545
39.900,0.10,544
40.000,0.10,544
40.100,0.10,545
40.200,0.10,544
40.300,0.10,543
40.400,0.10,546
40.500,0.10,545
40.600,0.10,544
40.700,0.10,548
40.800,0.10,543
40.900,0.10,546
41.000,0.10,546
41.100,0.10,544
41.200,0.10,546
41.300,0.10,544
41.400,0.10,545
41.500,0.10,547
41.600,0.10,544
